GeneIndex,Weight
1328; 0,7703936
1329; 0,05401337
1330; -0,9677135
1331; 0,5735333
1332; -0,9504046
1333; -0,6777329
1334; -0,4619354
1335; 0,4730448
1336; 0,3505519
1337; -0,03177202
1338; -0,7015371
1339; 0,06644547
1340; -0,2130009
1341; 0,4510803
1342; 0,5640333
1343; 0,208433
1344; -0,8848672
1345; 0,02395213
1346; -0,3094596
1347; 0,4176387
1348; 0,8174689
1349; 0,05157959
1350; -0,6598792
1351; 0,6441534
1352; 0,4368376
1353; -0,8572197
1354; -0,6070306
1355; -0,4143988
1356; -0,6501436
1357; -0,2659189
1358; -0,9591975
1359; -0,9141073
1360; 0,5226417
1361; -0,6033638
1362; -0,5817649
1363; -0,4183205
1364; 0,5045772
1365; 0,3598261
1366; -0,5251958
1367; 0,9037695
1368; 0,9662614
1369; -0,6056881
1370; 0,354675
1371; -0,4401144
1372; 0,8580909
1373; 0,4952578
1374; 0,8695304
1375; -0,3875142
1376; -0,5008235
1377; -0,5606904
1378; -0,4190081
1379; -0,2934991
1380; 0,2046129
1381; 0,393717
1382; 0,4665348
1383; 0,4653413
1384; -0,05894363
1385; -0,8842535
1386; 0,6641788
1387; -0,01719201
1388; -0,5311046
1389; 0,9278486
1390; 0,1825334
1391; -0,1521627
1392; 0,9742906
1393; 0,7837379
1394; -0,3288506
1395; 0,9743173
1396; -0,3166245
1397; 0,5023625
1398; 0,6295974
1399; 0,1047245
1400; -0,09799898
1401; 0,03689682
1402; -0,9127538
1403; 0,7884638
1404; -0,7550766
1405; 0,7033539
1406; -0,0895828
1407; -0,7705436
1408; -0,1764909
1409; 0,2915421
1410; -0,7587459
1411; 0,7148716
1412; 0,555923
1413; -0,5853
1414; -0,2552017
1415; 0,3325367
1416; -0,9588139
1417; -0,7756658
1418; -0,5108652
1419; -0,9751985
1420; 0,5254884
1421; 0,6091502
1422; 0,811898
1423; -0,2026349
1424; 0,6102068
1425; 0,7080328
1426; -0,4580027
1427; -0,7629552
1428; -0,237471
1429; -0,2124625
1430; 0,4875076
1431; 0,9376996
1432; 0,2137688
1433; -0,8863752
1434; 0,540216
1435; -0,5257211
1436; 0,92382
1437; -0,9329023
1438; -0,8812988
1439; 0,6692176
1440; -0,09753716
1441; 0,2326847
1442; 0,8821909
1443; -0,341025
1444; 0,7726581
1445; -0,4507576
1446; 0,6600022
1447; -0,5830224
1448; -0,6310542
1449; -0,4845759
1450; -0,3503686
1451; 0,3385608
1452; 0,1175805
1453; 0,02307403
1454; 0,1876761
1455; -0,8618124
1456; 0,5453334
1457; 0,355766
1458; 0,3068638
1459; 0,854712
1460; -0,09107196
1461; 0,5569026
1462; -0,5677371
1463; 0,7132504
1464; -0,1104041
1465; 0,847363
1466; -0,5245883
1467; -0,5328982
1468; 0,979039
1469; -0,5333076
1470; 0,4391792
1471; -0,3605303
1472; 0,8724134
1473; -0,8081179
1474; -0,2235329
1475; 0,470339
1476; -0,8981581
1477; 0,4040794
1478; 0,4121391
1479; -0,18076
1480; -0,4741157
1481; -0,502876
1482; 0,4785552
1483; -0,2996365
1484; 0,3458483
1485; 0,1450428
1486; -0,1813186
1487; -0,7560558
1488; 0,4501524
1489; -0,7568851
1490; 0,05746043
1491; -0,3306268
1492; 0,4210784
1493; -0,5998261
1494; 0,4951925
1495; -0,6351888
1496; -0,565376
1497; -0,9607747
1498; 0,8232138
1499; -0,06809199
1500; -0,6629114
1501; 0,7386873
1502; -0,3786894
1503; 0,9008715
1504; -0,9446139
1505; -0,7543504
